Timestamp,Incident_Severity,Incident_Type,Region_Type,Traffic_Congestion,Weather_Condition,Drone_Availability,Ambulance_Availability,Battery_Life,Air_Traffic,Response_Time,Hospital_Capacity,Distance_to_Incident,Number_of_Injuries,Specialist_Availability,Road_Type,Emergency_Level,Drone_Speed,Ambulance_Speed,Payload_Weight,Fuel_Level,Weather_Impact,Dispatch_Coordinator,Label
2019-01-05 05:10:00,Low,Accident,Urban,Low,Rainy,Available,Available,50.116181320422015,Low,15.43,81,22.74,1,Unavailable,Highway,Minor,71.58710585333951,38.903626084524106,5.9,54.26965651043624,Severe,Human,Drone Only
2022-02-19 05:30:00,Low,Accident,Urban,Moderate,Clear,Unavailable,Unavailable,83.29326834377864,Medium,13.06,75,5.23,2,Unavailable,Local Road,Minor,76.54007189495739,36.183440476869215,2.64,54.80170388695092,,AI,Ambulance Only
2018-11-25 08:00:00,Low,Cardiac Arrest,Suburban,Moderate,Rainy,Available,Available,76.81584756712695,High,21.96,91,24.19,2,Unavailable,Highway,Major,38.77594752642156,50.09962301168312,9.83,35.12253454050314,,Human,Ambulance Only
2020-06-10 17:10:00,Low,Cardiac Arrest,Urban,Moderate,Clear,Available,Unavailable,85.54170462808698,Low,24.23,70,48.99,1,Available,Highway,Major,51.10466504826432,40.90459896261473,2.63,76.59734878442622,Moderate,Human,Ambulance Only
2021-02-25 13:20:00,Medium,Cardiac Arrest,Urban,Moderate,Clear,Available,Available,72.97309933689223,Medium,17.31,30,43.92,1,Available,Highway,Minor,66.35842236072101,43.54421581488125,9.77,67.77031308731603,Moderate,Human,Drone Only
2023-04-14 18:10:00,Low,Accident,Urban,Moderate,Clear,Available,Available,63.31805592061937,Medium,17.81,10,9.04,2,Unavailable,Local Road,Critical,72.29651335258599,53.60001778383636,8.41,75.70876980071903,Severe,Human,Drone Only
2021-11-18 08:10:00,Low,Other,Urban,Low,Clear,Available,Available,88.00306476711718,Medium,13.53,92,23.63,2,Unavailable,Local Road,Minor,68.29255566762434,39.30484195278825,8.71,76.34734011323111,Moderate,Human,Ambulance Only
2020-12-02 10:20:00,Low,Other,Suburban,High,Clear,Available,Unavailable,64.53504628511902,Low,23.82,81,33.87,2,Unavailable,Unpaved Road,Minor,56.46691323396932,43.3925826810489,8.34,75.41203482113237,,Human,Hybrid Dispatch
2019-05-13 04:10:00,Low,Other,Suburban,Moderate,Rainy,Available,Unavailable,72.64670986692325,Low,19.93,68,18.93,2,Unavailable,Highway,Major,84.39753474242643,31.652834266736456,1.69,78.23272072879558,Moderate,Human,Ambulance Only
2023-08-23 11:00:00,Low,Cardiac Arrest,Urban,Low,Clear,Available,Available,80.23097414883468,High,10.0,95,11.9,1,Unavailable,Highway,Minor,54.95348028490081,44.5052918947214,8.89,61.27369624196952,,Human,Drone Only
2019-10-06 15:00:00,Medium,Accident,Urban,Moderate,Clear,Available,Available,86.30179584859006,Low,15.46,12,22.82,1,Unavailable,Local Road,Minor,45.99865022905451,46.234195124391846,4.1,78.23154735181933,,Human,Ambulance Only
2021-10-15 17:40:00,High,Accident,Urban,Low,Rainy,Unavailable,Available,80.33037581573092,Medium,19.69,78,25.74,1,Unavailable,Highway,Major,71.28738320781576,46.17381131800511,5.05,86.2241516712201,,Human,Drone Only
2020-04-07 21:50:00,Low,Cardiac Arrest,Rural,Moderate,Clear,Unavailable,Available,100.0,Low,15.15,85,5.57,2,Unavailable,Highway,Minor,51.57028556864294,55.48632501117392,5.53,49.61753011445431,,Human,Ambulance Only
2021-06-30 12:30:00,Medium,Cardiac Arrest,Rural,Moderate,Rainy,Available,Unavailable,84.46388122224454,Medium,25.27,93,16.96,1,Available,Highway,Minor,65.04522045907619,42.94127585100233,8.12,73.89774046708855,,AI,Drone Only
2018-09-24 21:20:00,Medium,Cardiac Arrest,Urban,Low,Clear,Unavailable,Available,77.25744429374186,Medium,13.85,64,4.62,2,Available,Local Road,Critical,65.5888541210813,33.34773643106203,5.75,80.14485501723104,,Human,Drone Only
2019-06-03 07:00:00,Low,Other,Urban,Low,Clear,Available,Unavailable,80.85903148662317,Medium,12.85,18,22.13,3,Unavailable,Highway,Minor,67.535990777096,21.556795191715413,6.92,76.83119492579893,,Human,Drone Only
2024-07-03 02:10:00,Medium,Accident,Urban,Moderate,Clear,Available,Available,73.52320648470089,Medium,13.22,55,17.46,2,Available,Highway,Minor,67.78148563806967,40.83594105579545,3.19,72.43543637471889,,Human,Drone Only
2019-08-31 12:30:00,Low,Accident,Urban,Moderate,Stormy,Available,Available,81.10751832692216,Medium,17.59,52,27.0,1,Available,Highway,Minor,61.453220641320826,32.78607998565446,9.3,72.7624138369611,Moderate,Human,Drone Only
2023-10-05 10:30:00,Low,Accident,Suburban,Moderate,Clear,Unavailable,Available,72.21288470859434,Medium,17.15,39,33.47,2,Available,Highway,Minor,69.86577055261645,43.67868692250488,7.08,43.954437645555245,Moderate,AI,Hybrid Dispatch
2018-12-05 06:50:00,Low,Accident,Suburban,Low,Clear,Unavailable,Available,79.71962478148865,Medium,13.2,97,18.17,2,Available,Highway,Major,63.33477100131769,30.21132594651966,6.54,53.03370175734211,Moderate,Human,Drone Only
2022-09-11 16:30:00,Low,Other,Rural,Low,Clear,Available,Available,76.80120102667549,High,15.58,66,31.93,2,Unavailable,Unpaved Road,Minor,59.04147592277228,43.73498622843507,6.44,100.0,Moderate,Human,Drone Only
2020-02-28 08:50:00,Low,Accident,Suburban,Low,Clear,Available,Available,88.15600894843408,Low,10.84,13,12.98,1,Unavailable,Local Road,Minor,70.5757384395157,46.04486303824845,1.86,86.69871084376018,Moderate,AI,Drone Only
2024-02-26 05:00:00,Low,Cardiac Arrest,Urban,Low,Clear,Available,Available,52.70781082396148,Medium,16.27,82,31.69,1,Unavailable,Highway,Minor,46.10980632063599,42.82612947554719,9.45,58.15020831900914,,Human,Drone Only
2021-07-31 22:20:00,High,Accident,Urban,Low,Clear,Available,Available,81.2302062212998,Low,13.53,24,12.64,1,Available,Local Road,Minor,61.93796937364313,40.28701522778056,8.38,84.67941396256492,Severe,Human,Drone Only
2022-08-14 15:00:00,Low,Accident,Urban,High,Clear,Unavailable,Available,83.80470159883356,Low,20.88,37,37.6,1,Unavailable,Highway,Critical,58.864590024570894,43.59521480151575,8.55,100.0,,AI,Drone Only
2024-04-01 00:00:00,Low,Cardiac Arrest,Urban,Low,Clear,Unavailable,Available,76.15743746761589,Low,13.53,39,24.99,1,Unavailable,Highway,Minor,76.92406041080244,29.39065621504012,8.83,85.85585304107252,Moderate,Human,Ambulance Only
2024-11-05 01:50:00,Low,Cardiac Arrest,Suburban,Moderate,Clear,Available,Available,70.06211044738482,Low,24.5,36,43.98,1,Unavailable,Highway,Critical,74.49786896686322,32.06596110601248,2.87,72.77540567819402,Moderate,AI,Ambulance Only
2019-10-30 08:20:00,Medium,Accident,Urban,Moderate,Clear,Available,Available,91.80602466845542,Low,12.38,87,7.87,1,Available,Highway,Major,66.56673218958215,46.33512921841774,3.02,87.55865852281863,,Human,Ambulance Only
2022-07-12 15:00:00,Medium,Other,Urban,Low,Clear,Unavailable,Available,74.31000950495388,Medium,10.49,18,15.36,1,Available,Highway,Minor,70.37459700326205,35.43196425037338,4.26,47.04022598086943,,Human,Drone Only
2022-07-21 10:50:00,Low,Accident,Suburban,Moderate,Clear,Available,Available,87.47837201904314,Medium,14.42,95,7.5,1,Available,Highway,Critical,52.58077685542555,27.059481852245945,6.4,73.08716351054122,,AI,Drone Only
2023-11-27 02:50:00,Low,Fire,Urban,Moderate,Clear,Unavailable,Available,83.50621663424563,Medium,21.06,78,45.5,1,Unavailable,Highway,Critical,57.26819632875458,32.16990021010764,1.26,67.10448177645912,Moderate,AI,Ambulance Only
2023-07-24 07:30:00,Low,Accident,Urban,Low,Clear,Available,Available,69.10940528367367,Low,12.64,98,10.77,1,Available,Highway,Critical,62.27386316382818,35.64933373544449,8.3,70.03424277302824,,Human,Ambulance Only
2021-11-02 04:30:00,Medium,Cardiac Arrest,Urban,Low,Clear,Available,Available,85.4369823647955,Medium,17.99,62,19.48,1,Available,Local Road,Minor,51.82018935831139,34.10033337770801,5.63,59.75518768134043,,Human,Hybrid Dispatch
2024-03-21 06:40:00,Medium,Accident,Urban,Moderate,Clear,Unavailable,Available,87.13223072676733,High,14.78,99,8.79,2,Unavailable,Local Road,Minor,49.058701598337,51.16135551332828,8.19,53.626658295399565,,Human,Drone Only
2020-12-08 23:40:00,Low,Other,Urban,Moderate,Clear,Available,Available,77.84597996337521,Low,11.49,23,4.77,3,Unavailable,Highway,Minor,57.169230852144906,52.92142811935198,7.09,98.92682975960496,,Human,Drone Only
2022-02-18 09:40:00,Medium,Accident,Rural,Moderate,Clear,Available,Available,72.93764288603879,Medium,26.5,93,49.01,1,Available,Highway,Major,55.94522255742522,44.38428723759516,7.72,47.24869878790314,,Human,Drone Only
2018-09-18 23:20:00,High,Cardiac Arrest,Rural,Low,Stormy,Available,Unavailable,77.01852646646181,Low,31.9,14,9.82,1,Unavailable,Unpaved Road,Critical,45.20940982163429,33.29777269548279,2.95,68.10445902320728,,Human,Ambulance Only
2019-12-20 22:00:00,Medium,Fire,Urban,High,Clear,Available,Available,73.32212285660844,Low,15.71,20,16.4,1,Unavailable,Highway,Minor,54.556288645416906,39.40318341409551,9.63,88.33720337449996,,Human,Drone Only
2023-01-06 18:40:00,Low,Fire,Urban,Low,Clear,Available,Available,79.64346798244334,Low,15.07,56,25.04,2,Unavailable,Local Road,Minor,56.70312100011645,32.58768705365791,4.65,54.02081280584674,,Human,Ambulance Only
2024-11-22 07:20:00,Medium,Other,Urban,Moderate,Clear,Available,Unavailable,83.6342985006524,Low,21.16,84,42.25,3,Unavailable,Highway,Minor,78.31727281150953,42.0605359223792,4.77,62.69372069936179,Moderate,Human,Ambulance Only
2018-08-21 16:00:00,Low,Cardiac Arrest,Urban,Moderate,Stormy,Available,Available,91.88515102668909,Medium,22.66,29,20.73,2,Available,Local Road,Major,60.66980955770698,20.0,5.86,82.67492041110681,Moderate,Human,Ambulance Only
2024-08-29 03:10:00,Low,Other,Urban,Low,Clear,Unavailable,Available,74.29352443173633,Low,13.17,24,23.64,1,Unavailable,Highway,Minor,78.33439074251937,42.81722136679805,1.2,69.15153519306978,,Human,Ambulance Only
2023-04-05 19:20:00,High,Cardiac Arrest,Suburban,Moderate,Clear,Available,Available,85.57381442651591,Low,29.54,83,32.73,1,Available,Unpaved Road,Critical,51.45518769611563,46.55240723748565,9.86,87.53513316704291,,Human,Ambulance Only
2022-02-17 05:40:00,Low,Accident,Urban,High,Clear,Available,Available,83.74426844766154,Low,14.69,99,19.38,1,Unavailable,Highway,Minor,83.00149619405974,34.69900172043276,9.24,67.78497125194633,Moderate,Human,Ambulance Only
2019-12-07 08:40:00,Low,Other,Urban,Low,Clear,Available,Available,84.1712687760507,Low,18.85,90,41.38,4,Available,Local Road,Minor,48.50747282747307,36.02362510777994,0.53,61.34590535037631,,Human,Drone Only
2020-05-17 16:30:00,Low,Cardiac Arrest,Urban,Low,Clear,Available,Available,71.56291139475476,Low,11.09,29,18.61,2,Available,Highway,Minor,63.27449683932546,55.22551177168022,2.42,86.41265826939434,,Human,Ambulance Only
2024-02-05 04:50:00,Low,Cardiac Arrest,Urban,Moderate,Clear,Available,Available,76.98235246733176,Low,12.85,51,15.26,1,Unavailable,Highway,Minor,57.32034773349648,48.78099613846025,2.2,69.15109125358384,,Human,Ambulance Only
2024-12-09 02:10:00,Low,Fire,Urban,Low,Clear,Available,Available,73.37184601735927,Low,20.5,97,34.72,1,Unavailable,Local Road,Major,61.31925654187381,35.743996120959096,2.39,69.00372530967135,,Human,Ambulance Only
2021-11-17 12:20:00,Medium,Accident,Urban,High,Clear,Available,Unavailable,85.49405899488293,Low,20.67,19,39.89,1,Unavailable,Highway,Minor,53.13301347709705,47.241504284565885,5.52,74.7990765637931,,Human,Ambulance Only
2023-11-25 05:40:00,Low,Accident,Urban,Low,Clear,Available,Available,85.95125046359163,Low,14.13,32,41.95,1,Unavailable,Highway,Minor,83.3712926850837,36.70371252633658,4.84,84.02603358091146,Moderate,Human,Ambulance Only
2021-11-12 12:50:00,Low,Fire,Urban,Moderate,Clear,Available,Available,95.24826145411448,Low,17.12,50,43.75,1,Available,Highway,Minor,45.05863827338046,35.81045402843643,2.68,68.32121809227205,,Human,Ambulance Only
2022-03-29 09:30:00,Medium,Other,Urban,Moderate,Clear,Available,Available,84.57708334437471,Medium,18.51,99,37.02,1,Available,Local Road,Minor,58.62140507249047,54.16099299371123,2.85,61.95705338826616,,AI,Ambulance Only
2024-06-19 05:00:00,Low,Accident,Urban,High,Clear,Available,Available,91.42249232591855,Medium,14.83,65,28.98,1,Unavailable,Highway,Minor,50.453170145557394,41.53364738712384,7.39,76.34326773902058,,Human,Drone Only
2023-06-20 17:30:00,Low,Other,Urban,Moderate,Clear,Available,Available,98.47251706964926,Low,11.18,39,1.14,2,Available,Unpaved Road,Major,55.063861022488,44.01315939765826,8.87,67.0368850446641,,Human,Drone Only
2018-11-25 17:50:00,Low,Fire,Urban,Low,Clear,Available,Available,91.97714593213712,Low,10.0,68,10.64,2,Available,Highway,Minor,42.3076727392384,43.67361104445645,2.53,75.20908308781839,,AI,Drone Only
2020-12-30 04:00:00,Low,Accident,Urban,High,Rainy,Available,Unavailable,77.76196389705221,Medium,25.59,87,42.39,1,Unavailable,Highway,Major,59.510926125923305,37.2911270868644,6.9,66.94840936466383,Moderate,Human,Drone Only
2019-06-24 04:50:00,Low,Cardiac Arrest,Suburban,Moderate,Clear,Available,Available,64.56178734741165,Medium,18.03,30,36.15,2,Unavailable,Unpaved Road,Minor,52.82068013684962,49.337224836082,7.75,69.92211273913448,,Human,Ambulance Only
2022-01-15 16:40:00,Low,Accident,Urban,Moderate,Clear,Available,Available,76.93509347337424,Medium,15.47,28,11.49,2,Unavailable,Local Road,Minor,56.44658121367549,42.6035633889417,0.77,51.77739610130234,,Human,Drone Only
2018-10-02 00:10:00,Low,Accident,Urban,Moderate,Clear,Available,Available,83.89922056688218,Medium,14.07,63,13.34,2,Unavailable,Highway,Major,55.67493580829663,50.08657147260351,4.64,100.0,,Human,Ambulance Only
2023-01-15 05:10:00,Low,Cardiac Arrest,Rural,Low,Rainy,Available,Unavailable,64.074698992155,Medium,19.49,31,15.8,1,Available,Highway,Minor,62.82519415905574,51.418838695688194,9.41,76.47465288069284,Severe,Human,Ambulance Only
2018-06-22 00:40:00,Low,Accident,Urban,Low,Clear,Unavailable,Unavailable,77.3019616787052,Medium,16.34,93,32.59,3,Available,Local Road,Minor,58.23062086067422,39.57033926755332,1.65,87.82100110254416,,Human,Drone Only
2020-07-23 23:10:00,Medium,Accident,Urban,Moderate,Clear,Available,Available,79.55198972699195,Low,19.2,23,44.44,1,Available,Unpaved Road,Minor,63.50614995270832,34.57033583751713,7.14,63.85737164480574,,Human,Ambulance Only
2019-08-17 14:10:00,Low,Accident,Suburban,Low,Clear,Available,Unavailable,98.43454421728676,Low,15.56,67,40.23,2,Unavailable,Highway,Minor,72.34745004168134,37.69976527476119,1.4,52.44016416374357,,Human,Ambulance Only
2023-04-20 08:50:00,Medium,Cardiac Arrest,Rural,Moderate,Rainy,Unavailable,Available,90.96088482756768,Low,26.33,14,15.77,2,Unavailable,Local Road,Minor,49.55373046364008,47.88960875983658,1.16,61.83984782607229,,Human,Drone Only
2022-06-08 19:00:00,Medium,Fire,Urban,Low,Clear,Available,Available,75.55233965540691,Low,18.48,61,22.14,1,Available,Highway,Critical,56.7125975672663,31.49765400863236,7.07,91.26638091978197,,Human,Drone Only
2020-04-10 20:10:00,Low,Cardiac Arrest,Urban,Low,Clear,Available,Available,76.50011974062738,Medium,14.84,90,32.89,1,Unavailable,Highway,Minor,55.36563698429962,55.07834375902943,5.22,86.1568063389166,,Human,Ambulance Only
2019-05-22 21:20:00,Low,Other,Suburban,Low,Clear,Unavailable,Available,64.12172564411512,Medium,13.08,23,19.86,3,Unavailable,Local Road,Minor,55.548141729241614,45.12292725851297,3.32,54.0397226887178,,AI,Drone Only
2018-09-06 06:20:00,Low,Other,Suburban,Moderate,Rainy,Unavailable,Available,92.45078456331883,Low,19.11,82,34.48,3,Unavailable,Highway,Minor,48.96480086009227,47.465914881836746,1.79,88.36673260204189,Moderate,Human,Drone Only
2021-03-12 09:00:00,Medium,Other,Urban,Moderate,Clear,Available,Available,78.18126068122635,Medium,23.53,79,39.38,1,Unavailable,Local Road,Minor,52.81179885456212,41.40356521332573,8.83,81.45067419523217,,Human,Ambulance Only
