Timestamp,Incident_Severity,Incident_Type,Region_Type,Traffic_Congestion,Weather_Condition,Drone_Availability,Ambulance_Availability,Battery_Life,Air_Traffic,Response_Time,Hospital_Capacity,Distance_to_Incident,Number_of_Injuries,Specialist_Availability,Road_Type,Emergency_Level,Drone_Speed,Ambulance_Speed,Payload_Weight,Fuel_Level,Weather_Impact,Dispatch_Coordinator,Label
2020-11-15 04:30:00,Medium,Accident,Urban,Moderate,Clear,Available,Available,95.50180390302556,Medium,14.4,46,7.56,1,Unavailable,Local Road,Minor,63.26512519095412,42.05390357505103,8.11,53.30795770312535,,Human,Hybrid Dispatch
2024-05-08 07:40:00,Medium,Accident,Urban,Low,Clear,Unavailable,Available,79.75795286752015,Medium,19.24,12,35.95,1,Available,Highway,Major,44.11687082770833,20.99949325729096,1.9,87.8410835628869,Moderate,AI,Drone Only
2022-08-16 19:50:00,High,Cardiac Arrest,Urban,Low,Rainy,Unavailable,Available,84.09285423085339,Medium,24.61,96,29.29,1,Unavailable,Local Road,Minor,56.591764361169325,40.10984552564162,6.21,91.69513800141485,,Human,Ambulance Only
2024-08-12 16:30:00,Medium,Accident,Urban,Moderate,Clear,Available,Available,74.405639692916,Medium,11.65,79,14.35,1,Unavailable,Highway,Minor,35.79379569801888,54.81391522180445,9.94,70.95085567681886,,Human,Drone Only
2022-07-03 10:20:00,Medium,Accident,Urban,Low,Clear,Available,Available,68.90189508790948,High,16.51,74,39.74,1,Unavailable,Highway,Minor,72.96687238705198,35.241051572035374,9.48,68.71258684984444,,AI,Ambulance Only
2022-12-09 13:50:00,Low,Accident,Urban,Low,Clear,Available,Available,72.9443426594947,Low,10.73,95,16.13,1,Available,Highway,Major,64.67270974503934,45.582814650732125,6.33,67.38913313448622,,Human,Drone Only
2019-03-16 22:30:00,Medium,Accident,Urban,Low,Rainy,Unavailable,Available,92.01749330961287,Medium,20.85,50,32.17,1,Unavailable,Local Road,Minor,74.73961751871157,45.27572290071994,4.87,53.274315450349405,,Human,Drone Only
2023-06-10 20:20:00,Low,Accident,Urban,Low,Clear,Available,Available,63.682760278984325,Low,14.97,34,48.95,2,Available,Highway,Minor,64.35035673867014,46.52616789681327,0.63,76.0690022310276,Moderate,Human,Drone Only
2024-08-01 23:40:00,Low,Accident,Suburban,Low,Rainy,Available,Available,72.08445708444115,Medium,18.22,91,32.62,1,Available,Local Road,Minor,82.66104878845545,40.24382744959978,2.43,71.46624789513817,,Human,Drone Only
2019-04-17 23:30:00,Medium,Accident,Urban,Low,Rainy,Available,Available,66.93462039503537,Low,13.93,38,9.98,3,Available,Unpaved Road,Minor,53.55860343792885,31.774725752816632,7.11,72.53630914647889,,Human,Drone Only
